attendancePercentage,averageResultPercentage,absenceCount,failedSubjects,performanceTrend
55,70,17,4,5
64,47,19,3,7
50,60,30,2,12
63,63,20,2,-12
69,45,18,2,-18
89,100,9,2,2
88,100,24,0,-5
81,92,3,5,-6
67,59,29,2,-1
40,98,24,0,5
42,92,4,0,-10
67,37,18,1,-15
43,100,21,2,-3
81,37,21,3,15
60,49,15,4,-2
79,91,23,4,-16
57,91,17,1,14
41,42,30,1,7
61,72,11,1,-12
58,45,9,4,-2
97,96,17,1,15
53,85,25,1,19
85,56,22,3,14
56,50,30,3,-14
95,56,19,3,17
88,87,8,3,-4
93,38,23,5,-2
99,94,15,0,-9
53,48,19,5,6
82,96,30,4,-15
43,57,7,0,17
99,79,21,5,-1
49,37,7,4,14
90,89,9,4,-17
92,50,8,2,-14
63,82,4,4,-13
46,63,19,5,-11
95,35,16,3,7
83,47,6,2,-3
86,51,6,5,18
98,87,12,0,-5
63,78,24,3,-18
63,54,18,2,-19
44,64,12,2,8
95,80,9,5,11
96,64,24,1,-16
48,46,1,0,18
50,79,28,1,-14
100,82,20,3,-4
84,72,16,4,-12
67,39,30,2,14
78,82,21,5,12
74,69,22,3,1
72,61,16,3,-3
79,37,3,2,2
57,83,28,2,-9
50,43,5,5,9
69,53,7,4,-1
48,73,17,4,15
68,84,13,3,-19
52,57,15,3,8
66,73,8,3,9
94,42,4,0,-19
55,41,24,0,-14
63,59,13,5,-3
75,36,9,1,-20
59,44,28,5,20
58,47,7,5,2
69,77,13,0,14
73,96,10,2,5
64,68,21,4,11
84,69,2,0,-20
97,79,13,2,-19
57,90,8,2,-9
52,65,1,5,-10
77,92,5,2,-19
48,51,4,5,8
97,63,23,2,-16
71,66,11,3,4
45,43,2,0,-10
74,82,27,1,-9
76,73,21,1,2
76,46,16,3,-8
87,59,7,5,-12
100,49,21,0,19
70,47,23,4,-12
70,42,6,3,-2
80,99,7,3,-18
57,68,3,3,-12
41,56,4,5,16
50,36,14,0,16
40,57,19,3,4
98,53,4,0,-7
52,51,17,0,10
51,52,12,4,-2
72,77,29,4,-10
76,85,2,2,9
69,42,11,3,3
47,86,23,4,-11
87,91,21,3,-15
42,91,12,4,14
60,90,29,0,12
94,82,9,0,-10
66,71,11,4,-8
100,71,29,0,-18
43,86,20,4,6
40,67,16,4,0
77,36,7,5,-8
88,85,15,4,-18
86,61,29,0,12
59,83,18,1,2
52,81,18,2,-12
87,60,20,4,15
41,74,24,2,-3
57,44,24,2,15
87,88,13,2,-19
68,40,7,2,13
71,96,19,4,-3
52,94,10,4,-12
40,75,10,4,-10
66,59,28,0,10
92,67,16,5,19
47,82,11,4,-12
80,49,12,5,2
63,89,10,1,3
61,48,4,3,-4
58,86,30,1,-17
41,81,26,5,13
70,77,12,1,-12
67,58,12,3,9
52,69,17,0,-1
94,48,29,5,-18
100,54,4,0,-11
40,49,20,5,-8
77,96,28,1,-18
43,63,3,5,3
43,51,8,1,4
89,69,16,2,-13
96,37,17,4,-5
55,44,22,0,19
59,81,8,2,1
84,98,13,4,-6
92,88,11,3,-18
81,70,25,2,-5
54,53,21,3,14
59,97,7,5,-20
95,62,16,5,-10
67,71,4,3,-18
99,54,18,3,-2
98,69,2,2,11
